Timestamp(ms),BMP_Temp(C),BMP_Pressure(hPa),BMP_Altitude(m),MPU_AccelX(m/s²),MPU_AccelY(m/s²),MPU_AccelZ(m/s²),MPU_GyroX(rad/s),MPU_GyroY(rad/s),MPU_GyroZ(rad/s),GPS_Lat,GPS_Lon,GPS_Alt(m),GPS_Speed(km/h),GPS_HDOP,DHT_Temp(C),DHT_Humidity(%)
21963,36.94,935.50,668.43,-8.66,0.83,-1.41,-0.06,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,30.90,54.20
24012,36.95,935.54,668.10,-8.76,0.86,-1.42,-0.06,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,30.90,54.10
26050,36.88,935.52,668.27,-8.74,0.83,-1.41,-0.06,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,30.90,54.10
28094,36.84,935.53,668.12,-8.74,0.82,-1.50,-0.06,-0.00,-0.04,NaN,NaN,NaN,NaN,NaN,30.90,54.10
30139,36.79,935.54,668.02,-8.67,0.77,-1.50,-0.05,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,30.90,54.10
32177,36.82,935.55,667.97,-8.72,0.84,-1.49,-0.06,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,30.90,54.10
34241,36.72,935.55,667.98,-8.75,0.84,-1.53,-0.06,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,30.90,54.00
36326,36.72,935.55,667.95,-8.71,0.79,-1.47,-0.06,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,30.90,53.80
42903,38.77,935.48,668.60,-9.46,1.29,1.02,-0.06,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,31.90,53.00
44945,38.83,935.48,668.58,-9.40,1.29,0.89,-0.06,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,31.90,53.10
46987,38.88,935.45,668.82,-9.46,1.36,0.97,-0.06,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,31.90,53.10
49033,38.91,935.44,668.95,-9.45,1.30,0.93,-0.06,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,31.90,53.10
51079,39.02,935.45,668.86,-9.41,1.31,0.88,-0.06,0.01,-0.04,NaN,NaN,NaN,NaN,NaN,31.90,53.10
53125,39.07,935.49,668.49,-9.50,1.29,0.96,-0.06,-0.01,-0.04,NaN,NaN,NaN,NaN,NaN,31.90,53.20
55184,39.14,935.48,668.58,-9.43,1.09,0.88,-0.07,-0.00,-0.04,NaN,NaN,NaN,NaN,NaN,31.90,53.20
57288,39.18,935.44,668.99,-9.51,1.06,0.97,-0.07,0.01,-0.04,NaN,NaN,NaN,NaN,NaN,31.90,53.00
148035,32.55,935.54,668.10,-9.09,2.90,0.94,-0.07,0.01,-0.01,NaN,NaN,NaN,NaN,NaN,36.80,68.40
150196,32.59,935.52,668.20,-9.07,2.85,0.96,-0.06,0.00,-0.05,NaN,NaN,NaN,NaN,NaN,36.70,68.60
152487,32.63,935.50,668.41,-9.08,2.93,0.97,-0.07,0.00,-0.03,NaN,NaN,NaN,NaN,NaN,36.60,70.50
154535,32.65,935.49,668.53,-9.10,2.91,1.01,-0.06,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,36.50,71.60
156570,32.63,935.53,668.46,-9.11,2.84,0.94,-0.06,-0.00,-0.05,NaN,NaN,NaN,NaN,NaN,36.50,73.10
158605,32.66,935.50,668.42,-9.06,2.91,0.89,-0.06,-0.00,-0.04,NaN,NaN,NaN,NaN,NaN,36.40,74.10
702136,31.41,935.56,667.89,-6.78,7.26,0.44,-0.02,-0.04,-0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN
704236,31.38,935.58,667.72,-6.36,7.13,0.71,-0.06,0.00,-0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
706338,31.37,935.56,667.89,-6.42,7.15,0.77,-0.06,0.01,-0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
708387,31.34,935.58,667.74,-6.42,7.10,0.70,-0.06,0.01,-0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
710431,31.33,935.56,667.85,-6.37,7.13,0.75,-0.06,-0.00,-0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
712486,31.35,935.58,667.66,-6.37,7.08,0.70,-0.06,0.01,-0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
714544,31.34,935.60,667.49,-6.41,7.12,0.71,-0.06,0.01,-0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
716658,31.34,935.58,667.71,-6.45,7.28,0.76,-0.06,0.00,-0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
